#Protein type, x, y, z, NP 
3K2S-P4:157.5-227.5,13.693161572749753,9.088416155650565,10.29709544133255,0.0
3K2S-P4:167.5-217.5,11.023515097166914,-2.1961466181122113,14.684064492161422,8.0
3K2S-P4:102.5-267.5,10.349171226560586,-1.4912033930953152,-9.743786166013308,3.0
3K2S-P4:162.5-357.5,-6.861097567825522,-1.1763106210383891,16.920387575591363,1.0
3K2S-P4:122.5-147.5,-1.3844849062071816,12.746156444556071,-11.915581195242515,5.0
3K2S-P4:97.5-267.5,4.989745389511379,-4.333471165569086,12.376697890503781,0.0
2A73-P2:112.5-207.5,-8.539420382180884,14.025089225748559,-3.4044818141830278,2.0
3K2S-P4:152.5-232.5,12.09685277019389,-10.54822884657579,-9.78116747741814,3.0
3K2S-P4:67.5-287.5,2.3340735373043273,-13.761911063452473,-3.1294579689934023,9.0
3K2S-P4:97.5-272.5,-1.458603908559496,-13.029023750874636,4.826601567461884,5.0
3K2S-P4:62.5-297.5,-11.537672193139683,-9.433295848363809,-3.702409413882099,6.0
3K2S-P4:102.5-277.5,6.119771240627078,-11.667223793247453,4.9692429180119495,7.0
3K2S-P4:147.5-182.5,17.23672060467842,-0.3453954732802436,7.187000281281443,4.0
3K2S-P4:82.5-262.5,-5.617937013367115,-5.349244322752199,-11.265127022534497,0.0
3K2S-P4:112.5-262.5,6.04986085166055,-6.727336764650746,12.059955384508454,1.0
3K2S-P4:102.5-272.5,6.880707514157647,-10.952370650388497,-6.012700379025994,2.0
3K2S-P4:117.5-57.5,-12.833183814203757,-5.411126854944399,-2.1114866268302244,0.0
2A73-P2:22.5-32.5,-5.314853026502673,9.060219488180422,-11.69916526793945,8.0
3K2S-P4:107.5-262.5,-4.170385967099206,8.010301381693195,11.528114142683904,8.0
3K2S-P4:172.5-212.5,17.269735985215494,1.6033881753028567,-5.81510735548859,7.0
3K2S-P4:97.5-262.5,-2.1289661306503347,-1.088309637180183,13.902163299253234,5.0
3K2S-P4:127.5-82.5,-6.770233671609136,9.619926770701264,-8.564315434730325,1.0
3K2S-P4:62.5-97.5,-9.469355636876534,-8.28804188431953,9.179434424742267,2.0
3K2S-P4:72.5-67.5,-1.750673811883653,-5.094286119082461,-14.343484341650548,6.0
2A73-P2:42.5-112.5,-10.265765963373006,-11.519908806071564,-2.125348828390689,2.0
3K2S-P4:112.5-237.5,4.478244589117671,3.1312401156927008,-15.296020441749427,1.0
3K2S-P4:52.5-122.5,9.758109733530821,-11.268442361359181,-4.968420464195158,5.0
3K2S-P4:112.5-32.5,-8.915239502571488,11.530400198464784,5.521071868283598,7.0
3K2S-P4:72.5-17.5,-6.442683694799717,-18.088519617081467,-2.1483702869849752,0.0
2A73-P2:32.5-277.5,-3.8486584555297814,5.389713426345171,-12.15613250545346,2.0
3K2S-P4:82.5-337.5,-6.2164778048130716,-12.868323089353515,10.518034106488578,8.0
2A73-P2:27.5-227.5,7.68038407979361,-12.044905961012903,3.356214224780566,1.0
3K2S-P4:102.5-57.5,-10.507434645843167,3.0773007564161925,8.782901548143382,5.0
2A73-P2:12.5-217.5,-8.342443486418604,8.373257756472954,-8.91070812161716,5.0
3K2S-P4:112.5-237.5,9.945028826986496,-11.643714863138582,-5.4173689585290905,5.0
1HZH-P5:92.5-182.5,11.990524970257237,-6.567210262561336,10.221990447929217,3.0
3K2S-P4:92.5-332.5,-5.73355400379116,-13.810424543486988,-9.166439430961953,5.0
3K2S-P4:87.5-192.5,12.151400054315967,-0.14793826861977802,13.32182451011652,6.0
3K2S-P4:92.5-32.5,15.238072765784088,-4.219137273552498,-4.265842674046734,9.0
3K2S-P4:87.5-272.5,2.9388779890090926,13.21199775953866,0.005630403466742461,0.0
3K2S-P4:37.5-117.5,16.45048451306345,1.282911490055776,3.992158049076001,4.0
3K2S-P4:97.5-167.5,-6.867929400170777,11.218090995206014,10.211915414988283,6.0
1HZH-P5:117.5-137.5,2.706784239196037,-4.763419732778396,13.746561280618394,4.0
3K2S-P4:137.5-47.5,-8.50394474783599,10.267870582349266,7.227575188311506,7.0
2A73-P2:22.5-212.5,-11.186056648271776,9.942636925250293,-2.157078112022158,8.0
3K2S-P4:97.5-242.5,-2.1013457904791144,-11.411414591760389,9.51865255425351,9.0
3K2S-P4:87.5-112.5,-1.6907562618469236,-6.23756604522825,-13.087546366903002,2.0
3GHG-P3:62.5-172.5,8.771949886812735,-8.349884309064976,-6.2933514652261895,9.0
1HZH-P5:112.5-142.5,-6.936659544798251,-6.841794178148774,-10.913733612019543,7.0
3K2S-P4:137.5-72.5,-3.5807580041621416,13.555283236329695,-4.929018509407472,7.0
3K2S-P4:157.5-162.5,15.41648417154458,-10.362708234160795,0.6289879262570519,0.0
3K2S-P4:72.5-292.5,-14.057052898911186,-2.407562592178798,2.9512439782576916,8.0
3K2S-P4:37.5-87.5,-10.908837980277285,7.195412835560215,11.381174618060063,2.0
3K2S-P4:67.5-287.5,12.803984809121646,5.3330585524056335,-3.499723140480038,6.0
3K2S-P4:112.5-262.5,-10.961625830118958,7.324113587918027,7.31440492846508,0.0
3K2S-P4:82.5-267.5,-4.94870216686666,-11.732751841040344,-4.554999240950927,7.0
3K2S-P4:162.5-157.5,12.044798477967685,-9.67627676548121,-10.378353282017788,2.0
3K2S-P4:92.5-42.5,7.829227297478253,-7.403383013271682,11.381447124915226,8.0
3K2S-P4:97.5-272.5,5.886875046088271,12.66476210697123,-0.35717071480579066,9.0
3K2S-P4:117.5-72.5,6.884461028859567,10.3514300213692,5.976376703832733,5.0
3K2S-P4:137.5-127.5,8.696169463488921,-13.155310145956856,8.129915712713176,9.0
3K2S-P4:137.5-132.5,13.125934039457524,10.934453439171584,6.32699859164225,0.0
2A73-P2:127.5-332.5,-14.200096882218753,-6.796232885665882,-5.684445650753381,4.0
3K2S-P4:107.5-267.5,-5.967157323193071,-11.993512687892236,5.975893501145042,6.0
3K2S-P4:117.5-142.5,-8.101025733035753,-4.7079507425801905,-14.191913488562406,9.0
3K2S-P4:107.5-262.5,6.829070334343927,0.8816133179057906,12.92443497229791,9.0
1HZH-P5:112.5-137.5,9.020788765929822,-3.3564739385735853,-11.230357112572634,8.0
3K2S-P4:172.5-277.5,7.1449810741577755,-1.419442774789306,-16.894118799462333,8.0
3K2S-P4:107.5-162.5,7.132104965463072,15.428348134391406,1.7744720536646128,7.0
3K2S-P4:97.5-272.5,8.152726426455475,8.04213985670476,8.002256325219864,2.0
2A73-P2:27.5-247.5,3.7783423572855637,-0.17279307213312653,13.58221190151009,9.0
2A73-P2:22.5-247.5,-8.676412956613671,-10.898597873795767,2.9373228422898037,5.0
3K2S-P4:177.5-182.5,-10.189079183235075,12.479587283831581,8.720355913344555,3.0
3K2S-P4:62.5-292.5,-6.146519021673489,-1.693285515252923,-13.401214441845452,5.0
3K2S-P4:37.5-72.5,8.114680167436688,15.202569666006402,-3.2108199391922927,8.0
2A73-P2:107.5-262.5,-4.906877582547371,-3.6625175496678524,16.301408897012827,4.0
3K2S-P4:132.5-87.5,6.281509558184824,-11.380393107189335,-7.4080206968229945,4.0
3K2S-P4:92.5-332.5,5.586115457944876,-16.142082254277405,-3.9816546829030206,8.0
2A73-P2:102.5-192.5,1.326982652315984,-14.944894807851163,-7.985642836061829,8.0
3K2S-P4:107.5-262.5,1.4705805233545903,4.552974161306262,13.840602668875736,2.0
3K2S-P4:107.5-57.5,11.951101422117995,1.7789433150793108,-6.911384372291192,5.0
3K2S-P4:72.5-27.5,-2.7281873718340064,10.578500350706413,14.511371194084001,9.0
3K2S-P4:112.5-357.5,-11.015635930150848,-3.6188513903506805,-13.935185777108106,9.0
1HZH-P5:82.5-177.5,-13.077285164105222,-11.142895288950669,0.5480505972570157,9.0
3K2S-P4:172.5-262.5,-3.063894095982427,14.852365783039385,-10.388999726611361,9.0
3K2S-P4:102.5-252.5,5.76538610604575,-11.352452637968415,-7.272086516957017,6.0
3K2S-P4:112.5-162.5,-9.385627072768953,0.48416157592759346,14.477114605680482,3.0
2A73-P2:122.5-237.5,-16.171599631664666,1.1907120940843192,-2.875061622305247,5.0
3K2S-P4:67.5-107.5,0.0442763500203216,-12.763999533451917,7.943466115928875,3.0
3K2S-P4:97.5-42.5,10.089247163411057,-5.204190293426469,-10.4617257381742,4.0
3K2S-P4:137.5-152.5,-10.904023395504954,-13.7479430056172,-6.058435456482699,1.0
3K2S-P4:62.5-292.5,3.755695676339209,12.956305818488186,-6.186141766951569,0.0
3K2S-P4:92.5-257.5,-3.927918932250291,-3.7607807036377268,-12.823586720946462,2.0
2A73-P2:27.5-237.5,-5.772720831554219,-10.628142244757278,-7.817363972507758,3.0
3K2S-P4:67.5-327.5,1.5345222920118422,17.357202670463472,0.2559958205108818,8.0
3K2S-P4:22.5-67.5,9.437789211088543,-7.701828097442283,14.145255432938448,5.0
3K2S-P4:107.5-57.5,-0.5076306438039475,13.903232172917242,-0.45071580513378734,3.0
3K2S-P4:72.5-292.5,-12.495388585505902,-0.693963098183317,-7.449202250765988,2.0
2A73-P2:37.5-162.5,10.174127495549856,-11.871711300249205,-5.783408775908169,7.0
2A73-P2:12.5-237.5,-9.113658742572516,-0.6260513011957942,11.263784698795412,0.0
3K2S-P4:132.5-92.5,9.163908392431164,-10.109328463424779,6.675399217235959,5.0
3K2S-P4:132.5-77.5,-11.511633390204043,4.073462737041109,-8.15407703914995,6.0
3K2S-P4:147.5-192.5,-0.9196691041406398,-0.593769497931426,-18.67301149912853,1.0
3K2S-P4:22.5-112.5,-15.136326367921631,6.12994003229422,8.069391821398101,4.0
3K2S-P4:87.5-332.5,-13.27576749407909,-4.203671005990914,-10.330547064590377,8.0
3K2S-P4:52.5-102.5,-11.35552498749938,-8.722429595998841,-7.749793227905123,6.0
3K2S-P4:62.5-92.5,0.980072696779716,-6.584943430104216,14.144818738179739,7.0
3K2S-P4:112.5-47.5,0.5963372665587153,-5.585615375121088,13.407864540563486,2.0
2A73-P2:12.5-237.5,1.461911404622833,-12.582620037508834,-7.061448129479525,6.0
1HZH-P5:87.5-187.5,16.127961808261226,6.721132767549159,-3.292446257425668,8.0
3K2S-P4:107.5-272.5,-13.888432580798808,-2.8081455722149244,-2.789130299480164,7.0
3K2S-P4:82.5-287.5,-1.4516192662494298,-11.863703104935468,-7.224781516703911,9.0
3K2S-P4:87.5-167.5,9.793964311104405,4.204462899296194,-12.501266870045892,5.0
3K2S-P4:162.5-272.5,9.90028963753129,2.8839546359682737,-14.925223160479966,0.0
3K2S-P4:107.5-52.5,9.84086632919547,9.94084616370848,2.7740512225155762,3.0
1HZH-P5:107.5-77.5,14.879615571183905,-2.552537604482272,12.354649724030576,6.0
3K2S-P4:82.5-282.5,2.9689513120977824,-12.96796426059619,3.609096481538316,4.0
1HZH-P5:92.5-97.5,-1.8326432968667885,17.760576749819197,-3.0022872302102006,6.0
3K2S-P4:92.5-252.5,-7.0606240673221405,10.869084193843758,5.917295386782552,3.0
2A73-P2:122.5-237.5,6.868896006458923,14.476437220592658,3.8020313413489855,4.0
2A73-P2:22.5-247.5,13.703810051989366,2.730279192358003,-2.7273812492955116,2.0
2A73-P2:32.5-287.5,3.5460997836945998,-8.203789955257117,-10.584451396891291,0.0
3K2S-P4:87.5-267.5,-9.183806396888736,9.956549226612132,-0.7364815707283047,9.0
3K2S-P4:102.5-257.5,-9.561954106111752,-7.754365969282568,-7.711632850800527,1.0
3K2S-P4:37.5-82.5,-11.847826212836257,-2.5741941310341594,12.359222457928595,7.0
2A73-P2:12.5-87.5,4.018814068728709,7.421181823398052,12.69628434673787,1.0
2A73-P2:12.5-247.5,-2.4093608925409167,-10.240749694303858,9.806115178318436,0.0
3K2S-P4:42.5-112.5,16.442261589234246,-0.48310667589856277,2.9436873153544276,3.0
3K2S-P4:117.5-57.5,12.087583555817274,-1.5594227147026158,-7.063129688936055,1.0
2A73-P2:107.5-192.5,-16.429562899393726,4.492898828258124,1.4766378916495075,3.0
3K2S-P4:87.5-42.5,12.405900392911871,9.756060192901465,-2.1516853280076593,6.0
3K2S-P4:117.5-57.5,-10.622243049705954,9.240851484872753,0.45154496146381956,6.0
3K2S-P4:62.5-257.5,-0.15578963172725263,10.816439784701608,-8.599354321221389,6.0
3K2S-P4:67.5-107.5,-0.08035262763165188,10.991479391014007,-10.25676472734893,6.0
3K2S-P4:112.5-172.5,-9.050062353947972,-15.11915775698839,-0.1393410659836436,7.0
3K2S-P4:57.5-102.5,13.504554689124529,7.865502512820921,-3.2696589788469095,1.0
3K2S-P4:97.5-232.5,4.313018360701064,8.11629166723472,12.808164732976174,3.0
3K2S-P4:87.5-277.5,13.120964905848728,2.8526588220797695,2.4952176706068507,5.0
1HZH-P5:77.5-177.5,-10.258791153734604,13.992089022514978,2.0862117229703414,5.0
2A73-P2:22.5-267.5,-3.1760514660327184,10.564895251642577,8.43834892897944,1.0
3K2S-P4:97.5-277.5,0.9002979023004741,0.20059274849137446,-13.907904012976907,6.0
3K2S-P4:107.5-257.5,3.0731200076785865,14.313824908858528,2.5138935246267855,1.0
3K2S-P4:77.5-82.5,2.0222822291903055,1.137828442290883,-14.425699822205875,4.0
3K2S-P4:67.5-72.5,-11.038060827973533,-9.752352772208647,5.283883845002931,9.0
3K2S-P4:142.5-172.5,2.371205780199309,15.773599204111473,9.304273832859682,4.0
3K2S-P4:107.5-267.5,-9.07689373420922,-11.399525248340131,-1.6803096445969874,9.0
3K2S-P4:87.5-252.5,-9.335401912413854,7.048446029475754,-7.770949091308147,3.0
3K2S-P4:87.5-282.5,0.5512894291327849,-11.173699340888987,8.011354627005675,0.0
3K2S-P4:117.5-162.5,-7.748098368549175,-3.4755644484141914,15.409210996493982,3.0
3K2S-P4:62.5-67.5,-4.7500150472843155,8.102259873685842,-13.237688922380784,8.0
1AO6-P1:117.5-307.5,-8.902509250419643,-7.468693864042575,9.586936409847995,5.0
3K2S-P4:52.5-282.5,4.581836079834429,-12.500651051341551,-6.101348897654697,4.0
2A73-P2:37.5-282.5,-7.532257316897298,-10.43011494264175,5.204922771788203,6.0
3K2S-P4:107.5-62.5,-3.537789703820514,-13.161962181117637,-1.6178728417395398,2.0
2A73-P2:22.5-247.5,5.430510838729384,13.153692960806039,-0.42113704600873075,9.0
3K2S-P4:77.5-57.5,-6.731325333122967,9.546272165397694,-9.913168519829739,4.0
1HZH-P5:107.5-152.5,0.83636824192551,3.8898702293737446,13.857471666277695,7.0
3K2S-P4:142.5-227.5,13.175090192141262,2.52823143355259,13.169033661202063,7.0
1HZH-P5:117.5-117.5,-8.538513549992475,12.162171922168426,-5.682097370010921,0.0
3K2S-P4:77.5-292.5,-13.752893949323875,1.5260244349475165,3.6811209876838973,9.0
3K2S-P4:52.5-82.5,-11.197740849923399,-10.489932818770287,-5.857422777356547,8.0
3K2S-P4:132.5-162.5,16.961865865123826,2.3122905071004247,-6.42682435218983,7.0
2A73-P2:112.5-212.5,-15.915851168108334,1.5218037857715616,-4.875463265870431,0.0
3K2S-P4:107.5-272.5,-8.665449988306769,-11.027913809497878,3.4421769919721865,4.0
3K2S-P4:62.5-17.5,-6.63842999823267,16.336160580098085,-9.9146727970502,9.0
3K2S-P4:47.5-87.5,15.509403933387853,-0.4703061978012489,6.016947186604732,1.0
3K2S-P4:102.5-262.5,-3.1617811990520766,12.363316869088349,-6.546531643911217,7.0
3K2S-P4:117.5-272.5,-3.5093286535462838,-13.688447072899677,5.179981728522783,7.0
3K2S-P4:62.5-102.5,2.915683377046709,-14.931531397393366,2.4142605543660918,2.0
2A73-P2:12.5-212.5,12.819475217048147,6.599513374218415,3.649588588764952,9.0
3K2S-P4:107.5-47.5,-1.4512961814998622,6.1476677931981625,13.124887886640728,0.0
3K2S-P4:77.5-62.5,-11.470041113273927,7.126131669732014,-6.930159368987952,7.0
3K2S-P4:32.5-112.5,8.006590003195615,15.370296012334657,-2.064671967736459,2.0
3K2S-P4:92.5-262.5,-4.352786148301056,0.8106305755444442,13.14297779729645,6.0
