#Protein type, x, y, z, NP 
3GHG-P3:57.5-122.5,0.43384124890687836,26.68233131612342,21.747218488887267,0.0
3GHG-P3:97.5-102.5,23.199523963292087,8.152410959801445,10.72240258112617,6.0
2A73-P2:132.5-317.5,3.587440769548812,-13.771034365235177,9.218501855457104,2.0
3GHG-P3:122.5-182.5,18.625441508242965,-20.863451621654807,-26.735574835307553,6.0
3K2S-P4:157.5-152.5,-16.501306723275782,-1.7543314506543342,9.128758382706444,4.0
3GHG-P3:82.5-237.5,-12.398926564065128,-35.46178963784321,-9.786770914066782,0.0
2A73-P2:127.5-327.5,-17.373109054151417,-0.5050058203048912,0.08634826359022567,8.0
1HZH-P5:162.5-152.5,-4.479965727856158,15.12633272532806,7.570261597508591,5.0
3K2S-P4:142.5-167.5,1.5652657511079895,9.95070353924921,-15.843651359948783,1.0
2A73-P2:112.5-202.5,0.47577323208309225,11.132197260806882,13.039974790528232,8.0
1HZH-P5:162.5-147.5,1.2819203522287468,-4.533454027207761,16.29324445242464,6.0
2A73-P2:92.5-262.5,17.325562012554997,2.924336500423447,-3.19585368572978,7.0
2A73-P2:152.5-27.5,-10.98395977914322,-8.462519514205733,-1.3389945890621362,1.0
1HZH-P5:157.5-162.5,12.026330443870297,-11.904949592417967,-3.238145247120358,7.0
1HZH-P5:12.5-142.5,15.08125401452845,-1.7269487413150666,-1.1793152093372183,0.0
3K2S-P4:112.5-357.5,4.798113991225611,2.229059013621211,-17.703201404660636,3.0
2A73-P2:82.5-287.5,-3.3566007469164227,-14.634566237102781,8.629691918577276,8.0
2A73-P2:37.5-287.5,10.702049934912775,-5.792469138722735,7.12416419677312,9.0
1HZH-P5:97.5-177.5,10.808627710483792,6.058682370336147,10.86626614275415,4.0
2A73-P2:117.5-252.5,-9.044860811886615,13.842667670860806,3.766596023797727,9.0
3K2S-P4:122.5-32.5,-5.338187862575588,13.511019049403622,5.641538328859232,4.0
1AO6-P1:147.5-197.5,-5.905182198202961,-4.284007743718953,14.76306433792007,5.0
1HZH-P5:147.5-197.5,4.766939638049672,-15.988084730882115,-0.6709467940973074,3.0
2A73-P2:157.5-327.5,9.375160338624795,-9.33280632529125,6.551514528791553,6.0
3K2S-P4:132.5-17.5,-16.017808902247573,-1.2576346981488025,-4.239317308441076,7.0
1HZH-P5:122.5-112.5,-15.282670848245933,1.4952333352256515,5.9474379827531125,0.0
1HZH-P5:102.5-307.5,-8.653640571928923,-13.505851143246504,-0.4471264590645802,9.0
1HZH-P5:152.5-322.5,-10.01003820148925,-10.066980333704562,-5.255102384939598,8.0
3GHG-P3:62.5-172.5,-13.034585572792626,4.266713678657267,-1.065773025188336,9.0
2A73-P2:42.5-312.5,-6.204934529254716,-1.2866546543873436,-13.605570330288005,8.0
3K2S-P4:97.5-272.5,-12.070935413500381,1.2536807049664824,7.21436293053829,0.0
2A73-P2:97.5-262.5,1.7377603256454448,-9.01610319030128,15.315973594797322,4.0
1HZH-P5:42.5-337.5,-5.6821969789884275,7.9941607420611644,-11.689016365930964,6.0
2A73-P2:127.5-222.5,2.003513940602453,4.123452624109868,-16.027986538861864,3.0
3K2S-P4:107.5-272.5,3.6420314356756576,7.620271100672131,-11.947082645246379,4.0
1HZH-P5:12.5-107.5,10.214991491620184,-5.02631473737877,9.36516287766164,3.0
1HZH-P5:122.5-307.5,4.7102656298947725,13.579995256959586,4.158538605462053,9.0
2A73-P2:12.5-122.5,9.458846006293193,12.503001861174148,-0.5757103158787249,2.0
1AO6-P1:137.5-17.5,12.426053411921028,11.300880186141086,0.7311436834878271,9.0
1HZH-P5:37.5-82.5,8.950760633881584,-4.63416180529067,12.69633383056812,0.0
3K2S-P4:67.5-17.5,12.007005671895925,16.420618461389083,2.2317493981485574,9.0
2A73-P2:127.5-312.5,-7.40830428392271,-12.7441945035372,-9.148893148433528,0.0
3K2S-P4:112.5-337.5,8.245554323480052,15.489996350101533,-0.5850620148474068,3.0
