#Protein type, x, y, z, NP 
2A73-P2:122.5-147.5,5.573269293256394,17.89097643345661,-1.738366861367769,1.0
2A73-P2:47.5-177.5,3.030110626534465,14.29346398488839,-10.114346097216433,2.0
2A73-P2:122.5-302.5,-9.534026215077748,-7.694210611279576,-13.732318311990724,8.0
3GHG-P3:82.5-52.5,4.373929011843757,-6.572047020179142,21.756018293750998,0.0
3GHG-P3:102.5-52.5,24.476822872790393,-14.487098498647383,-8.129962055821245,8.0
1HZH-P5:82.5-237.5,-14.566102010610816,-15.819333387070088,5.589132643227697,2.0
3K2S-P4:7.5-12.5,-8.329096640605979,-5.322992935571405,18.858233853863453,7.0
2A73-P2:112.5-212.5,12.160311970823479,11.372723902771352,3.930189078692786,5.0
1HZH-P5:137.5-92.5,-3.5465790275552207,-8.008802417826386,-16.332142124368506,5.0
2A73-P2:47.5-182.5,-9.598054909941599,-9.849538831921917,11.19338793196473,6.0
3GHG-P3:47.5-42.5,14.071391195854977,-14.96719539461873,12.592534760618296,5.0
3K2S-P4:17.5-17.5,14.16267436298836,15.232422872013645,-4.227333947184084,4.0
3K2S-P4:67.5-292.5,-0.5801584268752985,13.60563949333011,-6.558265045668448,5.0
3K2S-P4:2.5-352.5,-15.180969905452617,8.418291535830422,-11.913523273921976,0.0
2A73-P2:87.5-272.5,13.3738935841232,11.453954922023179,2.907653036142913,6.0
2A73-P2:67.5-32.5,-4.993256692865424,-16.20008956332135,-7.325401496368833,4.0
2A73-P2:72.5-192.5,-15.172225035226612,-6.076438423412966,6.466742459413592,0.0
1AO6-P1:122.5-347.5,-2.891953319362893,-11.157236420209102,-12.69071119298152,6.0
1HZH-P5:57.5-47.5,9.205060161213789,-8.037365456307215,-11.23413627163585,4.0
2A73-P2:27.5-267.5,13.190199625496158,-1.2311462723355007,-4.40863986260655,1.0
2A73-P2:82.5-192.5,2.920958169042536,14.508632957498206,9.153092761606839,7.0
1AO6-P1:42.5-322.5,1.3464243565898038,2.385434146214384,16.443505731735698,6.0
3K2S-P4:57.5-102.5,-13.346785788440297,-2.9536315724754103,9.002606124367219,3.0
2A73-P2:77.5-337.5,-9.017070572137937,16.162760483523147,-0.030791792949722462,4.0
3K2S-P4:177.5-257.5,9.580804137323183,15.590240734927036,-4.962807123666669,8.0
1HZH-P5:37.5-337.5,-9.679429544424641,-10.598568083267855,-4.247683812562945,1.0
1HZH-P5:137.5-117.5,-9.150340591131382,-13.69078260565224,2.122130843961204,8.0
1HZH-P5:7.5-147.5,12.131908976324027,-5.693609955877185,6.748605500104784,9.0
1HZH-P5:87.5-297.5,4.863085934005993,-18.127486440696504,-2.0712308246001228,7.0
1AO6-P1:122.5-342.5,-0.022493878429149006,17.014433090877635,0.4498287555698122,0.0
2A73-P2:102.5-107.5,11.42018061190716,-1.8453415554901065,13.164707570249142,2.0
2A73-P2:132.5-332.5,-5.806551273103493,3.7308855853492884,15.102390855380467,9.0
1HZH-P5:142.5-327.5,1.3456670868293261,-3.6357125292413253,-15.25100151737267,7.0
3GHG-P3:127.5-7.5,-8.799976447186026,-14.234332691560725,9.962402792774448,9.0
2A73-P2:32.5-272.5,-9.744006068021763,-9.783933562224412,1.785764187777793,1.0
2A73-P2:47.5-157.5,-4.047333333162891,-16.03833288410476,4.309052049687056,4.0
2A73-P2:122.5-227.5,14.92652250144295,5.473525452830249,5.290549599456634,0.0
2A73-P2:7.5-52.5,-0.6028218347584567,-14.656605435318996,3.0959873518885153,9.0
3K2S-P4:167.5-202.5,17.01770659288205,-8.241466985413094,1.341724786242744,9.0
3K2S-P4:167.5-152.5,-7.171446929510298,-17.096237966202185,0.2519582957697688,5.0
1HZH-P5:42.5-317.5,-2.503484691848,-16.21952784568749,-2.743490867443733,5.0
2A73-P2:162.5-277.5,4.296722816456712,-1.6896461898571515,-14.250818961642507,3.0
3K2S-P4:72.5-242.5,-14.501793744694371,1.4824021288646976,-1.0958967841892708,6.0
3K2S-P4:97.5-162.5,12.273280538202687,11.228288979013653,2.1141632920061966,2.0
1HZH-P5:42.5-337.5,-5.852430978872579,6.284933056013695,-12.729069218224542,5.0
2A73-P2:62.5-142.5,12.422471353926301,-10.159175047414816,4.780133664946992,1.0
3K2S-P4:72.5-112.5,3.376413575333907,5.567532949789707,-13.75788361430714,1.0
