#PPGAFF_PF3
#Upscaled from ../surface/PPGAFF/PF3.dat to radius: 69.18549113695998 bead probs: 1.0
#surf-centre-dist[nm],U[kJ/mol]
4.440892098500626e-16,11.056994824376773
0.002000000000000446,11.037687370359896
0.004000000000000448,11.017794465223618
0.006000000000000449,10.997260866125682
0.008000000000000451,10.975980534646489
0.010000000000000453,10.953732769973199
0.012000000000000455,10.930123216463773
0.014000000000000457,10.904393265141868
0.01600000000000046,10.879886444163237
0.01800000000000046,10.857566999423433
0.020000000000000462,10.834764846991437
0.022000000000000464,10.811310610640371
0.024000000000000465,10.786848699564453
0.026000000000000467,10.760513792373882
0.02800000000000047,10.730031244626531
0.03000000000000047,10.701407983911793
0.03200000000000047,10.675616235417463
0.034000000000000474,10.647440964369983
0.036000000000000476,10.612698612562838
0.03800000000000048,10.570764782983364
0.04000000000000048,10.544098978192585
0.04200000000000048,10.515630136920809
0.04400000000000048,10.48123683535094
0.046000000000000485,10.449247316340646
0.04800000000000049,10.42030805947456
0.05000000000000049,10.386136614030947
0.05200000000000049,10.351353605309956
0.05400000000000049,10.322719343598697
0.056000000000000494,10.293014228234597
0.058000000000000496,10.25869588914993
0.0600000000000005,10.213332070645054
0.0620000000000005,10.166666699166745
0.0640000000000005,10.119463030409571
0.0660000000000005,10.088413774570203
0.0680000000000005,10.057596909947437
0.0700000000000005,10.026483025823167
0.07200000000000051,9.995057920125843
0.07400000000000051,9.963309216253755
0.07600000000000051,9.931259153331647
0.07800000000000051,9.898918930737388
0.08000000000000052,9.86627656591908
0.08200000000000052,9.833343040101616
0.08400000000000052,9.800123313235982
0.08600000000000052,9.766620189802971
0.08800000000000052,9.732812228452993
0.09000000000000052,9.698709102587772
0.09200000000000053,9.664323117293964
0.09400000000000053,9.629276962451929
0.09600000000000053,9.584594884351208
0.09800000000000053,9.525573957335707
0.10000000000000053,9.468996860493295
0.10200000000000053,9.408979118648428
0.10400000000000054,9.353524563831048
0.10600000000000054,9.317581346281537
0.10800000000000054,9.281399231979863
0.11000000000000054,9.245007366985874
0.11200000000000054,9.20838805384464
0.11400000000000055,9.171536045399623
0.11600000000000055,9.13445626333811
0.11800000000000055,9.097129599867745
0.12000000000000055,9.058036275510794
0.12200000000000055,8.996147716845082
0.12400000000000055,8.938805571566265
0.12600000000000056,8.900823312045322
0.12800000000000056,8.862636103087986
0.13000000000000056,8.824265973809137
0.13200000000000056,8.785678429576008
0.13400000000000056,8.74369193401112
0.13600000000000056,8.677504801903194
0.13800000000000057,8.626581778293364
0.14000000000000057,8.587426038559865
0.14200000000000057,8.548066919696648
0.14400000000000057,8.501914398130358
0.14600000000000057,8.43385241883042
0.14800000000000058,8.381575679234992
0.15000000000000058,8.313928538751991
0.15200000000000058,8.26987705669702
0.15400000000000058,8.229939424440515
0.15600000000000058,8.189895405944037
0.15800000000000058,8.14976747568379
0.1600000000000006,8.109529437770746
0.1620000000000006,8.069218286178044
0.1640000000000006,8.02881887951594
0.1660000000000006,7.98837209575386
0.1680000000000006,7.947835626953292
0.1700000000000006,7.907228737654103
0.1720000000000006,7.866537460100643
0.1740000000000006,7.825780756712723
0.1760000000000006,7.784952344338824
