#Protein type, x, y, z, NP 
3GHG-P3:57.5-352.5,-24.909687191460858,-16.99029088039449,-37.625240846788834,9.0
3GHG-P3:57.5-347.5,-51.54858714233402,9.298934055127306,5.942840381188059,5.0
3K2S-P4:102.5-262.5,-2.5769029973045976,-4.997203443347165,13.423976536971606,0.0
3GHG-P3:62.5-112.5,-24.227132790104836,-3.2009312847575373,5.722042901953896,5.0
3K2S-P4:142.5-127.5,-12.12718786666854,-12.118753056558553,6.788396584640104,0.0
2A73-P2:67.5-352.5,-0.08896986463184042,4.028587418248422,18.73492736165469,7.0
3K2S-P4:72.5-292.5,12.674736537843437,4.457581436417285,-6.092625427299842,6.0
3GHG-P3:92.5-147.5,-5.235562837198255,18.232089821160933,15.395249301492424,3.0
3K2S-P4:62.5-17.5,16.040399834623045,-2.061623605207942,-13.03502960202698,6.0
3K2S-P4:112.5-167.5,-11.02303744506801,-13.826324448514683,1.6238523191606282,7.0
3K2S-P4:112.5-57.5,11.393085214611547,8.265024646658691,0.7631083120197477,8.0
3K2S-P4:152.5-157.5,-15.50874362025478,-5.394557579221434,-9.552820095713003,3.0
3K2S-P4:67.5-297.5,-1.3964209391948177,-11.540876703607239,9.976822971133245,5.0
3K2S-P4:62.5-62.5,-9.780028594866234,11.96151478439596,6.315981967985164,4.0
3K2S-P4:152.5-227.5,7.062935128415573,-2.7949180151201953,17.58659309235314,6.0
3K2S-P4:152.5-222.5,10.824047415205342,-13.563625041364233,-8.103646402346941,2.0
3K2S-P4:97.5-262.5,5.831264382348501,3.1799371257960187,-12.619390347598914,3.0
3K2S-P4:2.5-12.5,-8.031504875313786,-15.331384995620244,11.68557452948449,9.0
1HZH-P5:97.5-92.5,-15.889789194148184,10.461881710961867,2.6243110940643737,2.0
3K2S-P4:57.5-62.5,-14.357307865053007,-7.737981243744375,-4.543441619664785,6.0
1HZH-P5:127.5-217.5,17.703578411209634,2.0310047986767272,-2.571610012930664,2.0
3K2S-P4:27.5-277.5,-13.97028463942435,-0.7917032201143196,-8.942947996237493,0.0
2A73-P2:157.5-57.5,11.635199043193182,-7.065978716103208,-1.341111813089488,5.0
2A73-P2:97.5-262.5,1.1870600685253097,-2.5083567214631985,17.640618927090294,7.0
1HZH-P5:152.5-342.5,-5.649368490417766,-4.747440699089109,-14.122789110538214,1.0
3K2S-P4:167.5-172.5,3.224630394432015,-8.597832453124724,-16.21260269568419,0.0
1AO6-P1:147.5-147.5,-7.789386039912082,-7.115394335968617,12.342258268007365,6.0
3K2S-P4:87.5-222.5,-15.060066182404388,5.272509469329024,-4.250677950630649,4.0
3K2S-P4:12.5-22.5,-16.584216987458134,4.14204453956407,11.55602173695475,2.0
3K2S-P4:62.5-287.5,3.401565868681932,-13.255862427057687,-5.176117330841834,5.0
2A73-P2:132.5-102.5,10.92629946666241,11.479081875768122,-1.3849198592758314,1.0
2A73-P2:122.5-222.5,-7.170737407209705,-2.488301514070448,-14.800238925449616,8.0
3GHG-P3:82.5-147.5,5.660284563493341,4.615341988445378,20.794317076599572,9.0
1AO6-P1:67.5-277.5,5.515492949056247,-14.728140419039065,2.250173646875428,0.0
1AO6-P1:127.5-22.5,10.1476321079891,6.547791974899861,11.112824182689165,6.0
2A73-P2:77.5-307.5,-15.349803420571321,4.404996073788197,-7.096098257052521,4.0
2A73-P2:137.5-217.5,12.302327475436119,7.261914045614785,7.279110438992231,6.0
1AO6-P1:97.5-257.5,-13.134606924101433,5.039540301189814,-4.719383027138522,8.0
3K2S-P4:97.5-262.5,-2.4634287762979814,13.869359097070419,-2.2219482591977298,7.0
3K2S-P4:17.5-277.5,11.072047037499349,-1.044121336106292,13.914493232086773,5.0
2A73-P2:42.5-292.5,11.44643703628355,4.0274928809747195,7.859981247846279,4.0
2A73-P2:107.5-197.5,0.8356592032667164,-15.468926214556804,7.782555355012703,8.0
2A73-P2:77.5-177.5,4.275095957711843,-17.046861822937316,0.9446620754714271,3.0
3K2S-P4:82.5-67.5,-6.579272315947842,13.088558889142522,0.8936542032186925,4.0
1HZH-P5:27.5-202.5,12.41038956405591,4.409258394507483,-12.70872228335897,1.0
3K2S-P4:147.5-147.5,-12.428545702966677,5.800712063916426,-12.902164279690634,0.0
1HZH-P5:142.5-342.5,-13.433542395653056,9.17563138393789,1.5644441763591856,8.0
2A73-P2:27.5-202.5,5.995402308001589,-14.131670443136638,-2.9418444300677,1.0
1HZH-P5:92.5-177.5,15.903562289833278,1.3624897989309561,5.227638549803246,5.0
2A73-P2:147.5-22.5,1.2328827637764956,5.070558455940845,13.22774196186963,8.0
2A73-P2:117.5-212.5,0.21897206334910205,5.7480879046979165,-15.806730256719739,5.0
2A73-P2:7.5-192.5,8.571707880660911,12.008060687849648,-3.3414315632774865,3.0
1HZH-P5:7.5-187.5,-10.488403232674031,10.637779724677356,3.376138180897778,8.0
2A73-P2:7.5-172.5,-11.725850306627997,-0.3913411043300866,-9.786006368066014,7.0
2A73-P2:12.5-242.5,-8.086494961052795,6.389577285148616,-10.328993792303178,2.0
1HZH-P5:157.5-167.5,-2.616488884093854,-9.706259255981509,-14.056991957979944,4.0
3K2S-P4:137.5-232.5,-10.850362144298613,-15.680453648062278,-1.6890823174537564,1.0
2A73-P2:137.5-92.5,-7.847969068957016,-3.6921096241119424,-12.438068073215256,2.0
1HZH-P5:157.5-177.5,4.617776751748843,11.607423444882862,11.980303975652854,7.0
3K2S-P4:92.5-267.5,-8.340870424444436,10.17593592492005,4.523693036204657,9.0
3K2S-P4:152.5-222.5,2.1981324304003236,-9.992250219145882,-16.190248951143662,4.0
1HZH-P5:122.5-317.5,-6.350968117539846,-10.033282239103622,10.031819965357403,1.0
1HZH-P5:132.5-262.5,-4.72403251837699,-13.62476626089347,4.632693939468851,2.0
1HZH-P5:107.5-177.5,-0.4400509084825094,15.230291170862062,4.557983184983245,6.0
3K2S-P4:57.5-107.5,12.156774357665823,-1.3074290186514155,-10.172381144089835,4.0
2A73-P2:2.5-227.5,14.063929328100096,3.7460399583043853,1.6236871937453918,5.0
2A73-P2:22.5-222.5,7.2010070279117935,9.659580445702476,-8.994830616413747,7.0
3K2S-P4:92.5-32.5,-8.184288047984673,-9.8691507280955,10.594812776556152,9.0
1HZH-P5:127.5-167.5,-7.929596364925739,11.362529461507215,-5.851964001952234,6.0
2A73-P2:17.5-232.5,8.887306557301963,-10.11698359743065,6.046966693839392,2.0
3K2S-P4:57.5-292.5,3.7993681237421404,-14.713098174729794,-0.0643327181921782,9.0
3K2S-P4:147.5-162.5,-13.214798830197187,-12.710676573406403,4.3634681032429485,4.0
3K2S-P4:72.5-292.5,-7.416924960025633,-12.712296586422248,-1.012819233428139,1.0
3K2S-P4:137.5-122.5,-7.904982929536078,10.583935615084716,-11.834958685998831,6.0
2A73-P2:157.5-52.5,-12.68027345347244,4.869172779066908,-1.4079371244606886,7.0
3K2S-P4:47.5-102.5,-1.6978946565416362,-2.2067801829303417,-16.56667767944837,7.0
1AO6-P1:27.5-72.5,-7.59083076063145,12.015780420090493,-8.233945464249624,0.0
3GHG-P3:132.5-237.5,-5.683057994810244,-16.73932385369453,-25.33323939110554,4.0
1HZH-P5:147.5-342.5,12.70764345409557,-4.986106260204016,-8.711039214041813,9.0
3K2S-P4:107.5-82.5,-8.95396132144921,1.070187320074001,10.190890348598279,0.0
2A73-P2:157.5-337.5,6.490136208135756,-3.8666307117329315,12.46229144005818,8.0
3K2S-P4:62.5-7.5,2.957604375162013,19.14148591870884,6.253557105786782,5.0
2A73-P2:87.5-137.5,10.3388351380446,6.652106293134383,-11.94599328536916,7.0
3K2S-P4:102.5-267.5,8.232432474559909,-10.44141535951257,-5.591086658136611,2.0
1HZH-P5:157.5-162.5,-9.303130405865412,-10.252114833075925,10.224209314520074,4.0
3K2S-P4:87.5-92.5,-13.782484822828417,1.2193530732818143,1.5978787060295565,0.0
