#Protein type, x, y, z, NP 
3K2S-P4:57.5-97.5,15.811784091407707,0.1785224700422193,-2.2015673500729482,0.0
2A73-P2:112.5-212.5,-14.372767192999222,7.1096107820203915,4.7350560202735315,3.0
3K2S-P4:57.5-102.5,0.9050722013838296,-13.735163405227002,-8.114014289256437,8.0
3K2S-P4:102.5-267.5,-9.57164679971808,10.62340841272589,0.09232039673662465,6.0
3K2S-P4:62.5-77.5,15.577407423641539,3.6201367523240178,-1.6131552839089391,6.0
3K2S-P4:92.5-277.5,0.882188191095524,-8.526014137064143,-10.73806454241352,9.0
3K2S-P4:132.5-172.5,13.455761059309046,-0.36458455370039294,12.549272523865842,5.0
3K2S-P4:142.5-152.5,-7.126129614314434,-8.90095219908407,14.334843312831559,3.0
3K2S-P4:177.5-312.5,7.56174133941925,15.642956093694437,-6.122944962405784,2.0
3K2S-P4:142.5-192.5,-14.409076424950594,8.964842426939832,7.729918818150065,4.0
3K2S-P4:62.5-292.5,-12.718673393126286,-7.643952637526409,-0.4124490779183922,3.0
3K2S-P4:152.5-162.5,5.290915922498236,14.837162200831386,10.004869358292073,3.0
3K2S-P4:107.5-57.5,1.1654602666358,12.194268118134245,6.616922507550871,2.0
3K2S-P4:132.5-67.5,-0.3472408973262718,14.450904297486781,2.2257427295954666,9.0
3K2S-P4:52.5-112.5,6.11704678534628,14.648598478828982,1.5759070778279007,6.0
3K2S-P4:157.5-217.5,-17.96197831161764,5.239082296760283,2.463445985319491,0.0
3K2S-P4:157.5-182.5,5.475568082959,-17.883398596378793,1.3040251574551887,9.0
3K2S-P4:87.5-62.5,-14.377052489573888,0.9719525192609082,0.12058429859496306,9.0
3K2S-P4:72.5-282.5,-2.3870829520752705,11.873237959454816,-6.521519536544188,6.0
3K2S-P4:62.5-62.5,-1.9320672145064561,-1.428192012384404,16.27176670533994,4.0
3K2S-P4:87.5-27.5,15.816379032179217,-7.574770020677678,-1.0308370627671817,8.0
3K2S-P4:97.5-42.5,13.487824057221399,-6.995543508623591,2.7747250343725183,4.0
3K2S-P4:92.5-267.5,-12.642395777643186,2.9250407352003718,-4.658595100926554,8.0
3K2S-P4:62.5-292.5,-10.427996128400215,-3.2217922783096076,-10.061894966115275,1.0
3K2S-P4:127.5-167.5,5.045619302203864,-17.370911059456503,-1.4062475704465225,3.0
3K2S-P4:7.5-17.5,10.521657828983392,7.189133724957069,-15.977659462425226,3.0
3K2S-P4:172.5-287.5,-16.177436979957797,8.780037509253996,-0.8011768357431254,9.0
3K2S-P4:62.5-42.5,15.282376486889035,7.060278808571313,-5.0806410120891545,6.0
3K2S-P4:72.5-232.5,-6.131772728023192,-7.781366572267863,11.15609020589549,8.0
3K2S-P4:57.5-17.5,0.09585520249019795,18.87886892240083,-6.908534068468816,4.0
3K2S-P4:102.5-262.5,7.610644867661374,4.73446559511246,11.222404110471738,6.0
3K2S-P4:147.5-172.5,9.691803852967073,-14.643977884091228,-5.852696197463043,0.0
3K2S-P4:112.5-262.5,-12.329518288265529,-4.4457119280618125,-7.4793510590184935,5.0
3K2S-P4:62.5-72.5,6.342042734573987,-14.055086682391476,-4.494963265485007,0.0
3K2S-P4:107.5-257.5,2.2166932823621415,-9.955569649594894,-10.816168850386525,7.0
1HZH-P5:112.5-122.5,0.06618967898161586,-15.079025686964222,3.9890106501576055,9.0
3K2S-P4:92.5-252.5,-5.762008116265143,10.000813537300921,8.349249598662809,9.0
3K2S-P4:147.5-137.5,-14.314243579297868,1.6346598637019887,-11.375865889104649,4.0
3K2S-P4:167.5-222.5,9.923860194345886,15.565437581341035,1.4742914049447977,8.0
3K2S-P4:62.5-247.5,9.504307017323805,-9.257613208611504,4.725608608707416,9.0
2A73-P2:22.5-222.5,-7.159729729919064,-0.8850083998586646,-13.008778942553167,5.0
3K2S-P4:172.5-102.5,12.919948839901167,8.549514137581719,9.461440753663743,5.0
1HZH-P5:122.5-112.5,4.769871322756297,-12.916204502787233,8.63330857639304,5.0
1HZH-P5:97.5-92.5,8.305012895961902,10.069978098394575,13.610378604541312,2.0
3K2S-P4:17.5-52.5,-6.423260896165052,17.85181979824651,-3.9634196328519447,0.0
2A73-P2:137.5-77.5,-3.4982289382415965,12.045454495432717,-7.345957802342912,7.0
3K2S-P4:102.5-37.5,-0.3451974325634036,-7.0769008331260554,14.116856264870535,9.0
3K2S-P4:107.5-62.5,-0.02504801980933195,-13.171107959260572,3.8582325937198805,8.0
3K2S-P4:177.5-87.5,10.40319207643381,13.645990819572738,-6.557632831975701,3.0
2A73-P2:117.5-222.5,9.105814466853522,0.815014479693322,-13.889005063739189,3.0
3K2S-P4:97.5-177.5,-0.03366575864327411,-7.8106419444958295,15.395542548119389,9.0
3K2S-P4:92.5-277.5,6.362536793898471,-11.86777696072551,-2.7296883968184638,4.0
3K2S-P4:87.5-282.5,-8.30403628338939,7.413934716548392,8.092272165485081,5.0
3K2S-P4:67.5-297.5,-10.04197063504358,10.230841051757698,-4.854547471531391,1.0
3K2S-P4:62.5-92.5,5.145199372641065,4.544693204196102,14.045964618392826,0.0
3K2S-P4:57.5-82.5,-7.939043415494545,10.290547732966846,9.758227337347442,4.0
3K2S-P4:62.5-57.5,2.1437753827574677,16.53858491912375,0.2169293540438575,4.0
3K2S-P4:152.5-347.5,-11.07478797880814,-14.843761210799727,-1.2104872357335439,7.0
2A73-P2:32.5-262.5,5.357397860318391,12.363764906296922,3.394670189821129,0.0
3K2S-P4:52.5-287.5,-10.200107871039782,-5.285014842674847,9.270733066576302,8.0
3K2S-P4:112.5-267.5,0.17009959744434458,14.87086951151483,2.2655592544911727,5.0
3K2S-P4:92.5-27.5,-15.204105714583765,1.9752364848526813,6.957416279785401,6.0
3K2S-P4:57.5-107.5,-10.473996237951972,7.090279617067832,-9.269520966493427,7.0
2A73-P2:27.5-207.5,-7.29004510598064,-0.47368413511641644,13.429452836671695,1.0
3K2S-P4:117.5-12.5,-8.985979091576034,13.444855812515193,4.421749870321017,8.0
3K2S-P4:177.5-287.5,6.887605586671996,-9.098467415263745,14.450141096226698,0.0
3K2S-P4:72.5-227.5,2.4879705578311206,-15.059951628925592,-1.7047347861142277,7.0
3K2S-P4:72.5-27.5,1.239389809452561,6.484508395969631,16.96003347468404,7.0
3K2S-P4:42.5-127.5,4.869242662436194,15.754715458276527,1.514146871501797,6.0
2A73-P2:17.5-247.5,11.969393994138114,7.105893525173332,-3.2969132753509998,5.0
2A73-P2:32.5-277.5,-12.339640577085978,2.9434298634307496,5.569885749664964,8.0
2A73-P2:2.5-217.5,11.746066304241179,-4.2541254167342215,-7.4085520885693725,9.0
2A73-P2:157.5-52.5,10.899265536396118,-7.588561187852478,2.6230424422273564,0.0
2A73-P2:97.5-202.5,15.536822946902117,-4.5221373598309755,-4.153845750042826,5.0
3K2S-P4:62.5-102.5,-1.7154348961182966,8.272286031809783,-12.886842293532009,1.0
3K2S-P4:97.5-57.5,-5.001736143480597,2.4252101199335154,-13.156211632412301,2.0
3K2S-P4:62.5-82.5,0.5901881914749632,-14.247976021551153,-7.1558937190287635,6.0
3K2S-P4:87.5-82.5,10.375367202301458,-8.921220017805428,0.17865058223991978,1.0
