#Protein type, x, y, z, NP 
3K2S-P4:97.5-262.5,3.582940490963895,12.08018783234756,-6.378965183381587,2.0
3K2S-P4:147.5-167.5,18.2870841304116,-1.3573773743403827,2.3793416047115072,4.0
3K2S-P4:112.5-167.5,-2.304428823282476,11.841998542909833,12.648811994070835,1.0
3K2S-P4:152.5-137.5,5.918016601818341,-1.1124586310264162,17.52399174299091,0.0
3K2S-P4:42.5-107.5,-8.792667064489777,6.820803618383994,12.53609625372562,2.0
3K2S-P4:112.5-252.5,10.418950314141723,8.388270126038087,-7.815881860028041,0.0
3K2S-P4:107.5-257.5,2.610474270106503,12.307507925549109,-7.9220296141960205,7.0
2A73-P2:22.5-217.5,-14.680325611246847,-1.6126336960679843,2.713338784963727,7.0
3K2S-P4:92.5-272.5,6.803539529474492,-5.694196302047663,-10.44726880872215,4.0
2A73-P2:112.5-212.5,-14.91245709831324,-2.7371181229969266,7.038262026717299,7.0
3K2S-P4:57.5-92.5,-7.516649592112103,-13.394328763535244,-4.545524622341761,5.0
3K2S-P4:107.5-262.5,-8.972054100748213,11.339595768221308,2.5145545527973536,3.0
3K2S-P4:92.5-192.5,10.115236624285002,9.127875298545732,-12.002090017037368,9.0
2A73-P2:32.5-297.5,13.48880680499537,-2.283876470436959,-2.4550779892168655,6.0
3K2S-P4:112.5-32.5,1.5258785231621312,14.423336288307603,5.673580910242604,5.0
3K2S-P4:137.5-187.5,-14.1482424945518,-6.1148327724246885,10.80630667523419,9.0
3K2S-P4:47.5-117.5,-5.132460163292976,1.5097905773712728,15.312598841089494,3.0
3K2S-P4:157.5-142.5,3.9293108716559377,15.513623885308865,9.475413550833219,9.0
3K2S-P4:107.5-237.5,-0.407958237800869,-12.587034576288994,-9.689219709789507,1.0
3K2S-P4:102.5-257.5,1.3438203081046542,-12.67229230990655,-7.0082490952579395,0.0
2A73-P2:12.5-237.5,3.63540530175454,8.11497865858469,11.457234605342244,9.0
3K2S-P4:77.5-97.5,-11.730951428224833,7.7918751672170705,1.9314799937767713,1.0
3K2S-P4:87.5-277.5,10.2432051165793,0.9396344213035341,-8.982376065075467,2.0
3K2S-P4:107.5-262.5,-3.6678078621542203,6.669947284114736,-12.548552119103599,0.0
3K2S-P4:2.5-207.5,-19.052683943674484,-5.320101796667932,0.09014321999637515,3.0
3K2S-P4:97.5-252.5,-7.162814363454123,-12.414291472062688,0.5561539099733163,8.0
3K2S-P4:97.5-262.5,-12.809530586217965,3.707023107061997,-4.65118299810232,2.0
3K2S-P4:127.5-172.5,-14.406392353567634,3.6878670026154667,-10.547330794553343,4.0
3K2S-P4:107.5-262.5,-12.683279840014405,-6.614180621503712,3.285452598717309,5.0
3K2S-P4:67.5-297.5,-2.6688983632675365,7.195954439550337,13.03053670857597,7.0
3K2S-P4:112.5-52.5,3.7055885499814023,-6.66818166351974,-12.017741070053507,6.0
3K2S-P4:62.5-37.5,7.2345973617820505,15.164854708730347,5.8446895741828975,4.0
3K2S-P4:82.5-72.5,-12.833822756367692,-1.3132616673807886,6.3140505585885,7.0
3K2S-P4:27.5-117.5,8.76256686914916,10.983306274853533,10.82556602440826,4.0
3K2S-P4:132.5-197.5,-12.182938364749875,13.480086803502072,5.110334029193375,3.0
3K2S-P4:107.5-262.5,9.531361359584007,-3.1499215377690373,10.70692843495916,1.0
3K2S-P4:57.5-102.5,-5.802551807871685,12.018758215896515,8.780034021478544,7.0
3K2S-P4:167.5-167.5,-16.06073312793232,7.606817139042035,-4.082193993159252,0.0
3K2S-P4:52.5-272.5,12.335772231154277,4.016501221455924,6.002525385350517,1.0
3K2S-P4:92.5-272.5,0.19825019804042734,-0.856010788122414,13.67791612807554,3.0
2A73-P2:37.5-312.5,-6.68791946326356,11.079802485591323,6.799548280429474,0.0
3K2S-P4:122.5-352.5,-11.584147262187937,0.96186161367311,-13.19124111216349,1.0
3K2S-P4:67.5-37.5,1.3992996144715442,0.12798728522002817,-17.39787541851769,7.0
3K2S-P4:2.5-82.5,-10.466521388228049,6.160214499889826,-15.97942992460252,8.0
3K2S-P4:102.5-262.5,-7.7131153298843005,-11.871320324241998,2.6417119362155894,2.0
3K2S-P4:122.5-2.5,-13.539505367106349,-3.899670311748216,10.572674479567782,0.0
3K2S-P4:152.5-197.5,13.53932013244517,3.6647857279639275,12.410084722261173,5.0
3K2S-P4:62.5-42.5,-8.611788552718899,-13.148249199920542,-7.930978201098823,9.0
2A73-P2:22.5-302.5,8.70606418894886,-9.971706403791005,4.3949720965113475,7.0
3K2S-P4:157.5-347.5,-16.42927864325174,1.9213476167500028,-8.661993807449118,0.0
3K2S-P4:92.5-42.5,13.963751502367565,7.000841235380298,1.2852031282159577,1.0
3K2S-P4:117.5-32.5,4.464009395191175,4.32725836445478,-14.016805815169707,7.0
3K2S-P4:177.5-122.5,6.705738976909325,16.400288694125077,4.740319073864066,0.0
3K2S-P4:142.5-132.5,-9.862309233853798,-3.922309867985803,14.768991174153108,1.0
3K2S-P4:97.5-277.5,-8.406604270812215,9.566355796347365,5.679923990571877,9.0
3K2S-P4:97.5-47.5,-11.36995051016881,-8.338773946273191,-5.080884017180233,1.0
3K2S-P4:77.5-327.5,-11.911985468651773,5.839339061413775,-10.615177661216942,7.0
2A73-P2:27.5-252.5,-4.214368727392108,12.63757794809938,-4.428761739154448,4.0
3K2S-P4:67.5-42.5,-4.655352980444357,-12.031653727971113,11.014999459962333,7.0
3K2S-P4:77.5-287.5,3.5265091699978726,1.3188277601275746,-13.583083347784727,3.0
3K2S-P4:72.5-332.5,11.415687354771231,-8.919962871714278,-10.077965609308505,2.0
1HZH-P5:97.5-182.5,-7.54122682257016,6.11378119726598,-13.597084228826663,1.0
3K2S-P4:67.5-17.5,-14.752686422701519,-1.6202620009472313,13.294134676694473,4.0
2A73-P2:22.5-227.5,-2.0698780770146867,-0.22440382136902665,14.597034013179947,5.0
